Time,Code
0,32
0.02,32
0.04,31
0.05,31
0.07,31
0.08,31
0.1,31
0.11,31
0.12,31
0.13,32
0.15,32
0.16,32
0.19,31
0.2,31
0.22,31
0.24,30
0.26,29
0.27,29
0.29,29
0.31,28
0.32,28
0.34,28
0.36,28
0.38,28
0.4,27
0.42,27
0.44,27
0.46,27
0.47,26
0.48,26
0.5,25
0.51,25
0.53,24
0.55,23
0.57,22
0.58,23
0.59,22
0.61,22
0.63,21
0.65,21
0.67,21
0.68,21
0.69,21
0.71,21
0.73,21
0.75,22
0.76,22
0.77,22
0.78,22
0.8,22
0.81,22
0.82,22
0.83,22
0.84,23
0.85,23
0.87,24
0.88,24
0.9,25
0.91,25
0.92,25
0.93,25
0.94,25
0.95,25
0.96,26
0.97,25
0.98,25
0.99,25
1,25
1.01,25
1.03,25
1.05,26
1.06,26
1.07,26
1.09,26
1.11,27
1.13,27
1.14,27
1.15,27
1.16,27
1.17,27
1.18,27
1.19,27
1.2,27
1.21,27
1.23,27
1.24,27
1.25,27
1.26,28
1.27,27
1.28,27
1.29,28
1.3,27
1.31,28
1.32,28
1.33,28
1.34,28
1.35,28
1.36,28
1.37,28
1.38,28
1.39,28
1.41,29
1.43,28
1.45,28
1.46,28
1.47,28
1.48,29
1.49,29
1.5,28
1.51,28
1.52,27
1.53,26
1.55,26
1.57,25
1.59,25
1.61,24
1.62,24
1.63,23
1.64,22
1.65,20
1.66,18
1.67,17
1.68,15
1.69,13
1.72,11
1.73,10
1.74,10
1.75,9
1.76,9
1.77,9
1.78,9
1.79,9
1.8,9
1.81,9
1.82,9
1.83,9
1.84,10
1.87,9
1.88,9
1.89,9
1.9,9
1.91,9
1.92,9
1.93,9
1.94,9
1.95,9
1.96,9
1.97,9
1.98,9
2.01,9
2.02,10
2.03,9
2.05,9
2.06,9
2.07,9
2.08,9
2.09,9
2.1,9
2.11,10
2.12,10
2.13,10
2.14,10
2.15,10
2.17,10
2.18,10
2.19,10
2.2,10
2.21,10
2.22,9
2.23,10
2.24,10
2.25,9
2.27,9
2.28,9
2.29,9
2.31,9
2.32,9
2.34,10
2.35,10
2.36,10
2.37,10
2.38,11
2.39,11
2.4,11
2.41,10
2.42,11
2.43,11
2.44,11
2.45,11
2.46,11
2.48,11
2.5,11
2.51,11
2.52,11
2.53,11
2.54,11
2.55,11
2.56,10
2.57,11
2.58,10
2.59,11
2.6,10
2.61,10
2.63,10
2.64,10
2.65,10
2.68,10
2.69,9
2.7,9
2.71,9
2.72,9
2.73,10
2.74,9
2.75,9
2.76,9
2.77,9
2.78,9
2.8,9
2.82,9
2.83,9
2.84,9
2.85,8
2.86,8
2.87,8
2.88,8
2.89,8
2.9,8
2.91,8
2.92,8
2.93,7
2.94,7
2.95,7
2.96,7
2.97,7
2.98,7
2.99,7
3,6
3.01,6
3.02,6
3.03,6
3.04,6
3.05,6
3.06,6
3.07,5
3.08,5
3.09,5
3.1,5
3.11,5
3.12,5
3.13,5
3.14,5
3.15,5
3.16,4
3.17,4
3.18,4
3.19,4
3.2,4
3.21,4
3.22,4
3.23,4
3.24,4
3.25,5
3.27,5
3.28,5
3.29,5
3.3,5
3.31,5
3.32,5
3.33,5
3.34,5
3.35,5
3.36,5
3.37,5
3.38,5
3.4,5
3.41,5
3.42,5
3.43,5
3.44,5
3.45,5
3.46,5
3.47,5
3.48,5
3.49,5
3.5,5
3.51,5
3.54,5
3.55,6
3.58,6
3.59,6
3.6,5
3.61,6
3.62,6
3.63,6
3.64,6
3.65,6
3.66,5
3.67,6
3.68,5
3.69,6
3.71,6
3.72,6
3.74,5
3.75,5
3.76,5
3.77,5
3.78,6
3.79,5
3.8,5
3.81,5
3.82,5
3.84,5
3.86,5
3.87,5
3.88,5
3.89,6
3.9,6
3.91,6
3.92,6
3.93,7
3.94,7
3.95,8
3.96,8
3.97,8
3.98,8
3.99,8
4,8
4.02,9
4.03,9
4.04,9
4.05,9
4.06,10
4.07,10
4.09,11
4.11,11
4.12,11
4.13,12
4.14,12
4.15,12
4.16,13
4.18,13
4.2,13
4.21,13
4.22,12
4.23,13
4.24,12
4.25,12
4.26,12
4.27,12
4.28,13
4.29,13
4.3,13
4.31,13
4.32,13
4.33,13
4.34,13
4.35,13
4.36,13
4.37,13
4.38,13
4.39,13
4.4,13
4.41,13
4.42,12
4.43,12
4.44,12
4.45,12
4.46,12
4.48,11
4.49,11
4.52,11
4.53,11
4.55,10
4.57,9
4.59,9
4.61,7
4.63,6
4.65,6
4.67,6
4.68,6
4.7,6
4.72,6
4.73,7
4.74,6
4.75,7
4.77,7
4.78,7
4.8,7
4.82,7
4.84,7
4.85,7
4.86,6
4.87,6
4.88,6
4.89,6
4.91,7
4.93,6
4.94,6
4.96,6
4.98,6
5,5
5.01,5
5.03,5
5.05,5
5.07,4
5.09,4
5.11,5
5.12,5
5.13,4
5.14,5
5.16,5
5.17,5
5.19,5
5.2,4
5.22,4
5.24,5
5.27,4
5.29,4
5.3,5
5.32,5
5.34,5
5.35,5
5.36,5
5.38,5
5.4,5
5.41,5
5.42,5
5.43,5
5.44,5
5.46,6
5.47,6
5.48,6
5.5,6
5.52,6
5.54,6
5.55,6
5.56,6
5.58,7
5.59,6
5.6,6
5.62,6
5.65,6
5.66,6
5.68,6
5.7,6
5.72,6
5.73,5
5.74,6
5.75,6
5.76,6
5.78,6
5.8,6
5.83,6
5.85,6
5.86,6
5.87,6
5.88,6
5.89,7
5.9,7
5.91,7
5.92,7
5.94,8
5.96,8
5.97,8
5.98,8
5.99,8
6,8
6.01,9
6.02,10
6.03,11
6.04,12
6.05,14
6.06,16
6.07,17
6.08,19
6.09,20
6.1,22
6.11,23
6.12,24
6.13,24
6.14,24
6.15,24
6.16,24
6.17,23
6.18,22
6.19,21
6.2,20
6.21,20
6.22,18
6.23,16
6.24,15
6.25,13
6.26,10
6.27,9
6.28,7
6.29,6
6.3,5
6.31,4
6.32,4
6.33,3
6.34,4
6.35,3
6.36,3
6.37,3
6.38,3
6.39,3
6.4,4
6.41,4
6.42,3
6.43,3
6.44,3
6.45,3
6.46,3
6.47,3
6.48,3
6.49,3
6.5,3
6.51,3
6.52,3
6.53,3
6.54,3
6.55,3
6.56,3
6.57,3
6.58,3
6.59,3
6.6,3
6.61,3
6.62,3
6.63,4
6.64,4
6.65,4
6.66,4
6.67,5
6.68,5
6.69,5
6.7,5
6.71,6
6.72,6
6.73,7
6.74,7
6.75,8
6.76,8
6.78,10
6.8,11
6.82,13
6.84,16
6.85,16
6.86,17
6.88,18
6.9,19
6.92,20
6.93,20
6.94,20
6.95,20
6.97,21
6.98,21
7,22
7.01,22
7.03,22
7.05,22
7.07,22
7.09,23
7.1,23
7.11,23
7.12,23
7.13,23
7.15,24
7.18,24
7.2,25
7.22,25
7.23,25
7.24,26
7.25,26
7.26,25
7.28,27
7.3,27
7.32,27
7.33,27
7.34,27
7.35,27
7.36,28
7.37,27
7.38,27
7.39,28
7.4,27
7.42,27
7.44,27
7.46,27
7.47,27
7.49,28
7.5,27
7.51,27
7.53,27
7.54,27
7.55,27
7.58,27
7.59,27
7.6,26
7.61,26
7.63,26
7.65,27
7.66,27
7.68,27
7.7,27
7.73,27
7.75,27
7.76,28
7.78,28
7.8,28
7.82,29
7.83,30
7.85,30
7.87,31
7.88,31
7.89,32
7.9,32
7.91,32
7.93,32
7.94,32
7.95,32
7.96,32
7.99,32
8,32
8.01,32
8.02,32
8.03,31
8.04,31
8.05,31
8.07,31
8.08,30
8.09,30
8.1,30
8.11,30
8.13,29
8.15,29
8.16,28
8.18,28
8.19,28
8.2,27
8.21,27
8.22,26
8.24,25
8.26,24
8.27,23
8.29,22
8.32,19
8.34,16
8.35,13
8.36,11
8.38,8
8.4,5
8.42,4
8.43,4
8.45,3
8.47,3
8.48,3
8.49,3
8.5,4
8.51,4
8.53,6
8.54,8
8.56,12
8.57,15
8.59,19
8.61,24
